Item,Code,Price,Quantity,Category,Material,Finish
Kitchen Base Cabinet 24",KB-24,450.00,8,Cabinet,Maple,Natural
Kitchen Wall Cabinet 30",KW-30,320.00,6,Cabinet,Maple,Natural
Kitchen Pantry Cabinet,KP-84,890.00,2,Cabinet,Maple,Natural
Bathroom Vanity 36",BV-36,650.00,3,Vanity,Oak,Espresso
Bathroom Mirror 24",BM-24,125.00,3,Mirror,Glass,Beveled
Kitchen Island Top,KIT-72,1200.00,1,Countertop,Granite,Black Pearl
Bathroom Countertop 48",BCT-48,480.00,2,Countertop,Quartz,White
Kitchen Sink Undermount,KS-UM,285.00,1,Fixture,Stainless Steel,Brushed
Bathroom Faucet,BF-CH,195.00,2,Fixture,Chrome,Polished
Kitchen Pendant Light,KPL-3,165.00,4,Lighting,Bronze,Oil Rubbed
Bathroom Sconce,BS-2,89.00,6,Lighting,Nickel,Brushed
Kitchen Tile Backsplash,KTB-SF,12.50,45,Tile,Ceramic,Subway White
Bathroom Floor Tile,BFT-12,8.75,120,Tile,Porcelain,Marble Look
Kitchen Hardware Set,KHS-10,35.00,12,Hardware,Stainless Steel,Brushed
Bathroom Hardware Set,BHS-5,28.00,8,Hardware,Chrome,Polished
Crown Molding Linear Ft,CM-LF,18.50,85,Molding,MDF,Primed White
Baseboards Linear Ft,BB-LF,12.25,150,Molding,Pine,Stained
Door Casing Set,DCS-3,45.00,18,Trim,Poplar,Painted White
Window Trim Set,WTS-4,38.00,12,Trim,Pine,Natural
Kitchen Cabinet Pulls,KCP-6,15.50,24,Hardware,Brass,Antique
Bathroom Towel Bar 24",BTB-24,42.00,4,Accessory,Chrome,Polished
Kitchen Drawer Slides,KDS-22,28.50,16,Hardware,Steel,Zinc Plated
Bathroom Medicine Cabinet,BMC-24,185.00,2,Cabinet,Aluminum,White
Kitchen Lazy Susan,KLS-24,95.00,2,Accessory,Wood,Natural
Bathroom Exhaust Fan,BEF-80,125.00,2,Ventilation,Plastic,White